Customer_ID,Age,Gender,Region,Tenure_Months,Contract_Type,Monthly_Charges,Total_Charges,Support_Calls,Payment_Method,Has_Internet,Has_Premium,Churn
CUST0088,30,Male,North,36,Annual,131.07,4718.52,5.0,PayPal,No,Yes,No
CUST0089,36,Female,West,20,Monthly,82.96,1659.2,5.0,PayPal,No,No,No
CUST0090,38,Male,South,50,Monthly,120.82,6041.0,0.0,Bank Transfer,No,No,Yes
CUST0091,42,Male,West,5,Monthly,145.5,727.5,5.0,Credit Card,No,Yes,Yes
CUST0092,51,Female,North,19,Monthly,105.12,1997.28,2.0,Credit Card,No,No,No
CUST0093,39,Female,North,43,Two-Year,131.71,5663.53,6.0,Bank Transfer,No,Yes,No
CUST0094,57,Male,South,37,Two-Year,117.08,4331.96,6.0,Credit Card,Yes,No,No
CUST0095,28,Female,North,6,Monthly,27.3,163.8,5.0,Bank Transfer,No,Yes,Yes
CUST0096,33,Female,South,22,Monthly,99.23,2183.06,6.0,PayPal,Yes,No,Yes
CUST0097,55,Male,South,60,Annual,82.27,2442.16,4.0,Bank Transfer,No,Yes,No
CUST0098,22,Female,East,39,Annual,75.16,2931.24,4.0,Bank Transfer,No,Yes,No
CUST0099,42,Female,North,31,Monthly,66.66,2066.46,4.0,PayPal,No,Yes,Yes
CUST0100,60,Female,East,2,Annual,109.15,218.3,0.0,PayPal,No,No,Yes
CUST0101,67,Male,East,29,Annual,100.72,2920.88,2.0,PayPal,Yes,Yes,Yes
CUST0102,37,Female,North,47,Annual,82.27,2442.16,4.0,Bank Transfer,No,Yes,No
CUST0103,30,Male,East,68,Annual,55.43,3769.24,2.0,Bank Transfer,No,No,No
CUST0104,65,Female,North,60,Two-Year,38.3,2298.0,3.0,PayPal,No,No,No
CUST0105,23,Female,North,34,Annual,79.12,2690.08,4.0,PayPal,No,No,No
CUST0106,24,Male,West,4,Annual,142.61,570.44,5.0,PayPal,Yes,Yes,Yes
CUST0107,58,Female,East,53,Monthly,25.9,1372.7,0.0,Bank Transfer,No,Yes,No
CUST0108,24,Male,South,50,Monthly,107.16,5358.0,8.0,Bank Transfer,Yes,No,No
CUST0109,59,Male,West,53,Two-Year,56.37,2987.61,5.0,Credit Card,No,No,No
CUST0110,33,Female,North,48,Annual,147.12,7061.76,5.0,Credit Card,No,No,Yes
CUST0111,30,Male,West,12,Annual,103.42,1241.04,0.0,Credit Card,No,Yes,Yes
CUST0112,26,Male,North,71,Monthly,48.07,3412.97,3.0,Bank Transfer,Yes,Yes,Yes
CUST0113,35,Male,South,70,Monthly,42.68,2987.6,0.0,Credit Card,Yes,No,No
CUST0114,68,Male,East,3,Monthly,26.81,80.43,6.0,PayPal,Yes,Yes,Yes
CUST0115,48,Female,East,66,Annual,78.76,5198.16,3.0,PayPal,Yes,No,No
CUST0116,47,Male,North,62,Two-Year,75.42,4676.04,1.0,Bank Transfer,No,Yes,No
CUST0117,23,Female,South,9,Monthly,101.16,910.44,8.0,PayPal,No,No,Yes
CUST0118,56,Female,West,65,Annual,32.89,2137.85,1.0,PayPal,Yes,No,No
CUST0119,46,Male,West,44,Two-Year,71.83,3160.52,1.0,Bank Transfer,No,No,No
CUST0120,60,Female,East,20,Annual,81.65,1633.0,1.0,Credit Card,Yes,No,No
CUST0121,24,Female,South,72,Monthly,144.36,10393.92,8.0,Bank Transfer,Yes,No,No
CUST0122,40,Female,North,37,Annual,65.71,2431.27,8.0,Credit Card,Yes,No,No
CUST0123,32,Male,East,72,Monthly,119.14,8578.08,3.0,Bank Transfer,Yes,No,Yes
CUST0124,19,Male,East,40,Two-Year,65.63,2625.2,2.0,Credit Card,No,Yes,No
CUST0125,27,Male,North,68,Monthly,74.58,5071.44,5.0,Credit Card,No,No,Yes
CUST0126,64,Female,North,7,Monthly,118.08,826.56,0.0,PayPal,Yes,No,Yes
CUST0127,46,Female,West,57,Monthly,48.02,2737.14,8.0,Credit Card,No,No,No
CUST0128,25,Female,West,68,Annual,25.9,1761.2,6.0,PayPal,Yes,Yes,No
CUST0129,31,Female,South,18,Annual,57.63,1037.34,1.0,Credit Card,No,No,Yes
CUST0130,29,Male,West,69,Annual,85.03,5867.07,5.0,Credit Card,No,Yes,No
CUST0131,45,Male,West,10,Two-Year,94.85,948.5,6.0,PayPal,No,No,Yes
CUST0132,25,Female,North,42,Monthly,143.19,6013.98,7.0,PayPal,No,Yes,Yes
CUST0133,45,Male,South,56,Annual,88.12,4934.72,6.0,Bank Transfer,No,Yes,Yes
CUST0134,39,Male,North,66,Annual,88.98,5872.68,3.0,Bank Transfer,No,Yes,No
CUST0135,33,Male,South,33,Monthly,98.31,3244.23,1.0,Credit Card,No,No,No
CUST0136,66,Female,East,41,Monthly,28.88,1184.08,7.0,PayPal,No,No,Yes
CUST0137,55,Male,East,65,Monthly,82.27,2442.16,4.0,Bank Transfer,No,No,No
CUST0138,22,Male,West,60,Annual,144.05,8643.0,0.0,Bank Transfer,Yes,No,No
CUST0139,56,Female,South,8,Monthly,125.43,1003.44,5.0,PayPal,Yes,Yes,Yes
CUST0140,20,Male,West,57,Annual,82.27,2442.16,4.0,Bank Transfer,No,No,No
CUST0141,44,Female,North,43,Monthly,32.29,1388.47,6.0,Bank Transfer,No,Yes,No
CUST0142,39,Male,South,45,Monthly,105.29,4738.05,6.0,Credit Card,Yes,No,Yes
CUST0143,53,Female,East,17,Annual,127.76,2171.92,8.0,Credit Card,No,No,Yes
CUST0144,19,Female,East,24,Two-Year,64.43,1546.32,7.0,Credit Card,Yes,Yes,No
CUST0145,27,Male,East,13,Annual,90.17,1172.21,8.0,Credit Card,No,Yes,Yes
CUST0146,56,Female,South,21,Monthly,110.07,2311.47,2.0,PayPal,No,Yes,Yes
CUST0147,44,Female,South,57,Annual,117.81,6715.17,7.0,Credit Card,Yes,No,No
CUST0148,69,Female,South,48,Annual,94.15,4519.2,7.0,Bank Transfer,No,No,No
CUST0149,50,Female,South,26,Two-Year,37.99,987.74,4.0,Credit Card,No,No,No
CUST0150,53,Male,North,37,Monthly,40.84,1511.08,7.0,PayPal,Yes,No,Yes
CUST0151,23,Male,West,45,Two-Year,73.94,3327.3,6.0,PayPal,No,Yes,No
CUST0152,42,Male,East,29,Monthly,141.01,4089.29,5.0,Credit Card,Yes,Yes,Yes
CUST0153,36,Female,South,61,Monthly,20.68,1261.48,1.0,Credit Card,No,Yes,Yes
CUST0154,27,Female,North,37,Monthly,35.84,1326.08,3.0,Bank Transfer,No,Yes,No
CUST0155,25,Female,North,66,Annual,113.41,7485.06,4.0,Bank Transfer,Yes,No,No
CUST0156,33,Female,South,11,Annual,66.88,735.68,8.0,PayPal,Yes,No,Yes
CUST0157,48,Male,West,48,Monthly,22.11,1061.28,1.0,Bank Transfer,Yes,Yes,No
CUST0158,67,Female,South,6,Monthly,64.01,384.06,2.0,PayPal,No,No,No
CUST0159,58,Male,South,9,Annual,142.67,1284.03,0.0,Bank Transfer,Yes,Yes,Yes
CUST0160,68,Male,North,41,Two-Year,87.0,3567.0,8.0,Bank Transfer,No,Yes,No
CUST0161,66,Male,East,46,Two-Year,26.21,1205.66,5.0,Bank Transfer,Yes,No,No
CUST0162,45,Female,West,50,Monthly,44.29,2214.5,7.0,Bank Transfer,No,Yes,No
CUST0163,64,Female,North,56,Annual,126.9,7106.4,8.0,Bank Transfer,No,Yes,No
CUST0164,23,Female,East,40,Monthly,113.3,4532.0,2.0,PayPal,No,No,No
CUST0165,46,Male,East,56,Monthly,147.4,8254.4,0.0,Credit Card,No,No,Yes
CUST0166,50,Male,North,19,Two-Year,108.15,2054.85,7.0,Credit Card,Yes,Yes,No
CUST0167,33,Female,East,50,Two-Year,24.21,1210.5,2.0,PayPal,No,No,No
CUST0168,41,Female,North,18,Annual,71.74,1291.32,4.0,Credit Card,Yes,Yes,No
CUST0169,65,Male,West,67,Monthly,93.02,6232.34,4.0,Bank Transfer,No,Yes,Yes
CUST0170,57,Female,West,26,Monthly,130.87,3402.62,7.0,Credit Card,No,Yes,Yes
CUST0171,69,Female,East,9,Annual,57.75,519.75,4.0,Credit Card,Yes,No,No
CUST0172,50,Male,North,26,Annual,50.78,1320.28,7.0,Credit Card,No,No,Yes
CUST0173,47,Male,North,9,Monthly,149.95,1349.55,7.0,PayPal,No,No,Yes
CUST0174,70,Male,South,41,Annual,78.5,3218.5,8.0,Bank Transfer,Yes,Yes,Yes
CUST0175,67,Male,West,65,Two-Year,82.27,2442.16,4.0,Bank Transfer,Yes,No,No
CUST0176,28,Male,East,29,Monthly,142.32,4127.28,4.0,Credit Card,No,Yes,Yes
CUST0177,58,Female,South,39,Annual,32.15,1253.85,2.0,PayPal,Yes,Yes,No
CUST0178,60,Female,North,4,Monthly,143.31,573.24,4.0,PayPal,Yes,No,Yes
CUST0179,57,Male,West,70,Monthly,144.36,10105.2,7.0,Credit Card,No,No,No
CUST0180,47,Male,North,21,Monthly,82.95,1741.95,3.0,Bank Transfer,Yes,No,Yes
CUST0181,63,Female,East,52,Monthly,68.17,3544.84,8.0,Credit Card,No,Yes,Yes
CUST0182,47,Male,East,58,Monthly,32.59,1890.22,4.0,Bank Transfer,No,Yes,Yes
CUST0183,28,Female,East,25,Annual,84.77,2119.25,8.0,Bank Transfer,No,No,No
CUST0184,49,Male,North,51,Annual,145.67,7429.17,3.0,PayPal,No,Yes,No
CUST0185,21,Female,West,61,Monthly,21.06,1284.66,1.0,Bank Transfer,Yes,No,Yes
CUST0186,64,Female,West,47,Monthly,26.65,1252.55,8.0,Credit Card,No,No,No
CUST0187,22,Female,West,71,Monthly,148.58,10549.18,1.0,Credit Card,Yes,No,No
CUST0188,41,Female,East,19,Monthly,86.19,1637.61,8.0,Credit Card,Yes,Yes,Yes
CUST0189,26,Female,West,67,Monthly,98.81,6620.27,8.0,Credit Card,No,No,Yes
CUST0190,28,Female,East,44,Annual,86.26,3795.44,7.0,PayPal,No,No,Yes
CUST0191,70,Male,East,43,Annual,147.39,6337.77,4.0,PayPal,Yes,No,Yes
CUST0192,34,Male,North,62,Monthly,101.77,6309.74,6.0,Credit Card,Yes,Yes,No
CUST0193,54,Male,South,3,Monthly,74.44,223.32,6.0,PayPal,Yes,No,No
CUST0194,50,Female,North,18,Annual,92.92,1672.56,7.0,PayPal,No,No,No
CUST0195,29,Female,East,70,Monthly,120.36,8425.2,4.0,PayPal,No,Yes,Yes
CUST0196,33,Female,East,29,Two-Year,147.69,4283.01,4.0,PayPal,Yes,No,No
CUST0197,38,Female,East,72,Two-Year,123.4,8884.8,4.0,Bank Transfer,Yes,No,No
CUST0198,43,Female,South,38,Monthly,144.19,5479.22,1.0,Bank Transfer,No,No,No
CUST0199,65,Female,South,26,Two-Year,82.27,2442.16,4.0,Bank Transfer,No,Yes,No
CUST0200,24,Male,South,7,Annual,89.04,623.28,3.0,Credit Card,Yes,No,No
CUST0201,39,Female,North,18,Monthly,91.55,1647.9,2.0,Bank Transfer,No,No,No
CUST0202,59,Male,East,42,Monthly,27.69,1162.98,1.0,PayPal,Yes,Yes,Yes
CUST0203,29,Female,South,5,Two-Year,71.61,358.05,7.0,Credit Card,No,Yes,Yes
CUST0204,18,Female,North,43,Monthly,148.58,6388.94,8.0,PayPal,No,Yes,No
CUST0205,50,Female,East,25,Two-Year,62.99,1574.75,7.0,PayPal,No,Yes,No
CUST0206,18,Female,East,25,Monthly,131.3,3282.5,6.0,Bank Transfer,No,Yes,Yes
CUST0207,43,Male,South,18,Monthly,141.66,2549.88,0.0,Bank Transfer,No,Yes,Yes
CUST0208,46,Female,East,39,Annual,94.47,3684.33,4.0,PayPal,No,Yes,No
CUST0209,21,Male,West,40,Monthly,109.19,4367.6,4.0,PayPal,Yes,No,Yes
CUST0210,41,Male,South,18,Monthly,79.15,1424.7,5.0,Bank Transfer,No,Yes,Yes
CUST0211,66,Male,North,68,Monthly,82.27,2442.16,4.0,Bank Transfer,Yes,Yes,No
CUST0212,53,Male,South,22,Monthly,87.64,1928.08,1.0,PayPal,Yes,No,No
CUST0213,23,Female,North,59,Monthly,74.01,4366.59,0.0,PayPal,No,No,No
CUST0214,64,Male,West,33,Two-Year,116.95,3859.35,1.0,Credit Card,No,No,No
CUST0215,62,Male,North,9,Two-Year,81.37,732.33,4.0,Bank Transfer,Yes,Yes,No
CUST0216,67,Female,East,49,Monthly,139.22,6821.78,6.0,Bank Transfer,Yes,Yes,Yes
CUST0217,59,Female,North,23,Two-Year,71.1,1635.3,2.0,PayPal,Yes,Yes,No
CUST0218,66,Male,East,60,Annual,90.78,5446.8,8.0,Bank Transfer,Yes,Yes,No
CUST0219,47,Female,South,36,Monthly,133.78,4816.08,1.0,Credit Card,No,Yes,No
CUST0220,33,Male,North,13,Annual,78.04,1014.52,0.0,Credit Card,Yes,No,No
CUST0221,46,Male,South,8,Monthly,149.15,1193.2,3.0,PayPal,No,No,Yes
CUST0222,33,Female,South,67,Monthly,59.07,3957.69,0.0,PayPal,Yes,No,No
CUST0223,53,Female,North,45,Two-Year,107.27,4827.15,8.0,Bank Transfer,No,No,Yes
CUST0224,27,Female,West,24,Annual,81.56,1957.44,3.0,Bank Transfer,Yes,No,No
CUST0225,21,Female,West,72,Annual,70.49,5075.28,4.0,Credit Card,No,Yes,No
CUST0226,46,Female,North,69,Annual,44.76,3088.44,4.0,Bank Transfer,Yes,Yes,No
CUST0227,30,Male,West,27,Two-Year,63.29,1708.83,0.0,Credit Card,Yes,Yes,No
CUST0228,65,Female,South,27,Monthly,51.11,1379.97,5.0,Bank Transfer,No,No,Yes
CUST0229,52,Female,East,34,Monthly,134.77,4582.18,7.0,Credit Card,No,No,No
CUST0230,31,Female,East,53,Monthly,132.33,7013.49,2.0,Credit Card,No,No,No
CUST0231,36,Male,South,43,Monthly,94.07,4045.01,3.0,Bank Transfer,No,No,No
CUST0232,66,Female,West,59,Monthly,123.35,7277.65,2.0,Credit Card,No,Yes,No
CUST0233,52,Male,North,10,Two-Year,106.87,1068.7,0.0,Bank Transfer,Yes,Yes,No
CUST0234,22,Male,North,28,Annual,68.52,1918.56,7.0,PayPal,No,Yes,No
CUST0235,18,Female,North,3,Annual,55.72,167.16,4.0,Credit Card,No,Yes,Yes
CUST0236,24,Male,South,31,Monthly,82.27,2442.16,4.0,Bank Transfer,No,Yes,No
CUST0237,41,Female,West,32,Two-Year,49.36,1579.52,1.0,PayPal,Yes,Yes,No
CUST0238,43,Female,West,71,Monthly,102.78,7297.38,2.0,Credit Card,No,No,Yes
CUST0239,59,Female,North,68,Two-Year,49.87,3391.16,7.0,Bank Transfer,Yes,Yes,No
CUST0240,61,Female,North,23,Two-Year,60.88,1400.24,3.0,PayPal,Yes,No,No
CUST0241,22,Female,South,31,Annual,130.43,4043.33,8.0,Bank Transfer,No,Yes,No
CUST0242,68,Male,East,7,Monthly,50.18,351.26,1.0,Bank Transfer,No,No,No
CUST0243,19,Female,West,63,Monthly,91.89,5789.07,6.0,Bank Transfer,Yes,No,No
CUST0244,23,Female,South,10,Monthly,40.05,400.5,2.0,PayPal,No,No,Yes
CUST0245,41,Male,North,1,Two-Year,77.82,77.82,4.0,Credit Card,Yes,Yes,Yes
CUST0246,29,Female,West,72,Annual,73.05,5259.6,0.0,Credit Card,No,Yes,No
CUST0247,56,Female,West,2,Monthly,70.41,140.82,1.0,PayPal,Yes,Yes,Yes
CUST0248,61,Female,South,18,Monthly,54.89,988.02,2.0,Credit Card,Yes,No,No
CUST0249,35,Female,East,62,Annual,66.95,4150.9,3.0,PayPal,No,Yes,No
CUST0250,47,Male,South,39,Monthly,71.44,2786.16,6.0,Bank Transfer,No,No,No
CUST0251,45,Male,East,42,Annual,110.39,4636.38,7.0,Bank Transfer,Yes,No,Yes
CUST0252,38,Female,West,32,Monthly,56.44,1806.08,6.0,Bank Transfer,Yes,Yes,Yes
CUST0253,55,Male,North,60,Two-Year,47.25,2835.0,4.0,PayPal,Yes,No,No
CUST0254,61,Female,South,39,Monthly,105.63,4119.57,6.0,Bank Transfer,Yes,No,Yes
CUST0255,56,Female,West,69,Annual,139.65,9635.85,6.0,PayPal,Yes,No,Yes
CUST0256,62,Male,North,32,Annual,66.15,2116.8,0.0,PayPal,No,No,No
CUST0257,68,Female,North,2,Monthly,48.86,97.72,8.0,PayPal,Yes,No,No
CUST0258,41,Female,West,65,Monthly,149.7,9730.5,7.0,Credit Card,No,No,Yes
CUST0259,23,Male,South,45,Monthly,79.19,3563.55,3.0,PayPal,No,No,No
CUST0260,48,Male,West,58,Monthly,59.03,3423.74,1.0,Credit Card,No,Yes,Yes
CUST0261,61,Male,South,67,Monthly,40.82,2734.94,8.0,Bank Transfer,No,Yes,No
CUST0262,69,Female,South,24,Annual,76.18,1828.32,0.0,PayPal,Yes,No,No
CUST0263,55,Female,West,1,Annual,46.75,46.75,1.0,PayPal,Yes,Yes,Yes
CUST0264,41,Female,South,59,Monthly,107.19,6324.21,7.0,PayPal,No,No,Yes
CUST0265,57,Female,North,45,Monthly,79.52,3578.4,2.0,PayPal,No,Yes,No
CUST0266,61,Male,East,16,Monthly,35.2,563.2,5.0,PayPal,Yes,No,No
CUST0267,44,Male,West,55,Monthly,102.62,5644.1,2.0,PayPal,Yes,No,No
CUST0268,36,Male,South,41,Two-Year,100.52,4121.32,5.0,Credit Card,No,Yes,No
CUST0269,30,Female,West,53,Annual,74.03,3923.59,7.0,Bank Transfer,Yes,Yes,No
CUST0270,54,Male,South,38,Monthly,49.23,1870.74,4.0,Credit Card,No,No,Yes
CUST0271,53,Male,North,35,Annual,127.03,4446.05,5.0,PayPal,Yes,No,No
CUST0272,52,Male,West,14,Annual,104.98,1469.72,3.0,Bank Transfer,Yes,No,No
CUST0273,34,Female,North,57,Two-Year,35.26,2009.82,3.0,Credit Card,No,No,No
CUST0274,28,Male,South,27,Two-Year,94.11,2540.97,8.0,Bank Transfer,Yes,No,No
CUST0275,63,Female,East,35,Two-Year,86.87,3040.45,1.0,Credit Card,No,Yes,No
CUST0276,35,Male,South,32,Monthly,61.87,1979.84,3.0,PayPal,No,No,No
CUST0277,27,Female,West,49,Monthly,102.37,5016.13,1.0,Bank Transfer,No,No,No
CUST0278,47,Female,East,1,Two-Year,82.27,2442.16,4.0,Bank Transfer,No,No,No
CUST0279,22,Female,South,55,Two-Year,84.31,4637.05,5.0,Bank Transfer,No,Yes,No
CUST0280,54,Female,East,7,Monthly,101.4,709.8,7.0,Credit Card,Yes,Yes,Yes
CUST0281,46,Female,North,55,Monthly,82.27,2442.16,4.0,Bank Transfer,No,Yes,No
CUST0282,35,Male,East,33,Monthly,106.39,3510.87,2.0,Credit Card,No,No,Yes
CUST0283,64,Male,West,12,Annual,20.14,241.68,7.0,Credit Card,Yes,Yes,No
CUST0284,51,Female,North,2,Annual,126.22,252.44,6.0,PayPal,Yes,No,Yes
CUST0285,22,Male,West,12,Annual,33.32,399.84,5.0,Bank Transfer,No,Yes,No
CUST0286,42,Male,South,9,Annual,21.1,189.9,2.0,Bank Transfer,No,Yes,Yes
CUST0287,58,Male,West,57,Two-Year,31.27,1782.39,1.0,Credit Card,Yes,No,No
CUST0288,40,Female,East,18,Monthly,103.8,1868.4,3.0,PayPal,No,Yes,Yes
CUST0289,60,Female,South,67,Annual,44.52,2982.84,6.0,Bank Transfer,Yes,Yes,No
